Pot,Pop,Top,Cot,Noun,/t/
Mat,Cat,Cap,Map,Noun,/t/
Vat,Rap,Bat,Tap,Noun,/t/
Toy,Ploy,Toe,Poem,Noun,/t/
Tub,Pun,Tongue,Pawn,Noun,/t/
Cup,Cut,Pup,Gup,Noun,/p/
Pin,Tin,Pen,Tent,Noun,/p/
Tip,Pip,Bit,Pit,Noun,/p/
Rip,Net,Jet,Blip,Noun,/p/
Part,Pact,Tarp,Tart,Noun,/p/
Pool,Tool,Stool,Polo,Noun,/p/
Blimp,Fruit,Quilt,Keep,Noun,/p/
Slot,Crop,Spot,Stop,Noun,/t/
Pipe,Type,Pâté,Tape,Noun,/p/
Pine,Tine,Twine,Pie,Noun,/p/
Fit,Limp,Plump,Just,Adjective,/t/
Tough,Puffed,Taut,Passive,Adjective,/t/
Tired,Pied,Tiered ,Plum,Adjective,/t/
Great,Grape,Caped,Late,Adjective,/t/
Hot,Cropped,Hip,Mopped,Adjective,/t/
Pale,Tall,Tan,Pure,Adjective,/p/
Plain,Peeled,Tame,Teal,Adjective,/p/
Poor,Pure,Torn,Twirled,Adjective,/p/
Proud,Toweled,Prone,Toned,Adjective,/p/
Steep,Sweet,Deep,Swift,Adjective,/p/
Pungent,Bent,Deep,Peeled,Adjective,/p/
Happy,Snappy,Ratty,Catty,Adjective,/p/
Crispy,Tipsy,Itsy,Bitsy,Adjective,/p/
Lumpy,Bumpy,Skunky,Fruity,Adjective,/p/
Ripe,Striped,Right,Tight,Adjective,/p/
